business_id,customer_id,signup_month,segment,lifetime_value,churned,churn_month,purchases
UAE_001,CUST_1001,2023-01,Basic,6503,No,,5
UAE_001,CUST_1002,2023-02,Standard,5582,No,,7
UAE_001,CUST_1003,2023-03,Standard,2736,No,,8
UAE_001,CUST_1004,2023-04,Standard,7411,No,,1
UAE_001,CUST_1005,2023-05,VIP,7901,No,,8
UAE_001,CUST_1006,2023-06,Standard,4655,No,,8
UAE_001,CUST_1007,2023-07,Standard,2845,No,,6
UAE_001,CUST_1008,2023-08,VIP,2875,No,,7
UAE_001,CUST_1009,2023-09,Standard,2158,No,,9
UAE_001,CUST_1010,2023-10,Standard,3672,No,,9
UAE_001,CUST_1011,2023-11,Standard,2323,No,,7
UAE_001,CUST_1012,2023-12,VIP,6821,No,,9
UAE_001,CUST_1013,2024-01,Standard,2102,No,,9
UAE_001,CUST_1014,2024-02,Standard,4174,No,,7
UAE_001,CUST_1015,2024-03,Standard,1760,No,,3
UAE_001,CUST_1016,2024-04,Standard,3688,No,,7
UAE_001,CUST_1017,2024-05,Standard,2651,No,,3
UAE_001,CUST_1018,2024-06,Standard,5136,No,,7
UAE_001,CUST_1019,2024-07,Standard,9227,No,,9
UAE_001,CUST_1020,2024-08,Standard,2051,No,,2
UAE_001,CUST_1021,2024-08,Standard,2293,No,,2
UAE_001,CUST_1022,2024-09,VIP,5570,No,,6
UAE_001,CUST_1023,2024-09,Standard,7300,No,,9
UAE_001,CUST_1024,2024-10,VIP,4063,No,,7
UAE_001,CUST_1025,2024-11,Standard,3008,No,,4
UAE_001,CUST_1026,2024-12,VIP,4288,No,,9
UAE_001,CUST_1027,2025-01,Standard,7947,No,,5
UAE_001,CUST_1028,2025-02,Standard,5198,No,,6
UAE_001,CUST_1029,2025-03,Standard,1911,No,,7
UAE_001,CUST_1030,2025-04,VIP,3322,No,,4
UAE_001,CUST_1031,2025-05,Standard,4451,No,,6
UAE_001,CUST_1032,2025-06,VIP,5902,No,,6
UAE_001,CUST_1033,2025-06,Standard,4909,No,,6
UAE_001,CUST_1034,2025-07,Standard,6707,No,,6
UAE_001,CUST_1035,2025-08,Basic,8518,No,,2
UAE_001,CUST_1036,2025-08,Standard,3921,No,,5
UAE_001,CUST_1037,2025-09,Standard,4325,No,,1
UAE_001,CUST_1038,2025-10,Standard,5531,No,,4
UAE_001,CUST_1039,2025-11,Standard,5131,No,,4
UAE_001,CUST_1040,2025-12,Standard,2088,No,,4
UAE_001,CUST_1041,2025-12,VIP,3590,No,,8
UAE_002,CUST_1042,2023-01,Standard,5471,No,,9
UAE_002,CUST_1043,2023-02,Standard,3202,No,,1
UAE_002,CUST_1044,2023-03,Standard,4771,No,,8
UAE_002,CUST_1045,2023-04,Basic,9047,No,,9
UAE_002,CUST_1046,2023-05,Standard,2573,No,,3
UAE_002,CUST_1047,2023-06,VIP,6553,No,,7
UAE_002,CUST_1048,2023-07,Standard,11332,No,,2
UAE_002,CUST_1049,2023-08,Standard,4314,No,,5
UAE_002,CUST_1050,2023-09,Standard,1613,No,,7
UAE_002,CUST_1051,2023-09,VIP,2401,No,,4
UAE_002,CUST_1052,2023-10,Standard,6087,No,,1
UAE_002,CUST_1053,2023-11,Standard,5776,No,,5
UAE_002,CUST_1054,2023-12,Standard,5407,No,,8
UAE_002,CUST_1055,2024-01,Standard,8949,No,,7
UAE_002,CUST_1056,2024-02,Standard,2541,No,,7
UAE_002,CUST_1057,2024-03,VIP,3105,No,,9
UAE_002,CUST_1058,2024-04,Standard,10666,No,,8
UAE_002,CUST_1059,2024-05,VIP,7608,No,,1
UAE_002,CUST_1060,2024-06,VIP,2022,No,,4
UAE_002,CUST_1061,2024-07,Standard,4693,No,,7
UAE_002,CUST_1062,2024-08,Standard,4694,No,,7
UAE_002,CUST_1063,2024-09,VIP,3499,No,,7
UAE_002,CUST_1064,2024-09,Standard,3817,No,,3
UAE_002,CUST_1065,2024-10,Standard,1622,No,,8
UAE_002,CUST_1066,2024-11,Standard,9626,No,,8
UAE_002,CUST_1067,2024-12,Standard,4427,No,,1
UAE_002,CUST_1068,2025-01,Basic,7078,No,,1
UAE_002,CUST_1069,2025-02,Standard,6203,No,,6
UAE_002,CUST_1070,2025-03,VIP,5999,No,,9
UAE_002,CUST_1071,2025-04,Basic,7725,No,,9
UAE_002,CUST_1072,2025-05,Standard,1535,No,,2
UAE_002,CUST_1073,2025-05,Basic,2412,No,,7
UAE_002,CUST_1074,2025-06,Standard,2551,No,,7
UAE_002,CUST_1075,2025-06,VIP,3037,No,,9
UAE_002,CUST_1076,2025-07,VIP,4915,No,,8
UAE_002,CUST_1077,2025-07,VIP,9970,No,,6
UAE_002,CUST_1078,2025-08,Basic,2042,No,,8
UAE_002,CUST_1079,2025-09,Standard,5323,No,,1
UAE_002,CUST_1080,2025-10,Standard,1517,No,,1
UAE_002,CUST_1081,2025-11,VIP,6439,No,,9
UAE_002,CUST_1082,2025-12,Standard,5543,No,,9
UAE_003,CUST_1083,2023-01,VIP,5867,No,,4
UAE_003,CUST_1084,2023-02,Standard,11373,No,,7
UAE_003,CUST_1085,2023-03,Standard,7639,No,,4
UAE_003,CUST_1086,2023-03,Standard,7216,No,,9
UAE_003,CUST_1087,2023-04,VIP,4029,No,,4
UAE_003,CUST_1088,2023-04,Basic,2813,No,,9
UAE_003,CUST_1089,2023-05,Standard,10189,No,,3
UAE_003,CUST_1090,2023-06,Basic,4726,No,,1
UAE_003,CUST_1091,2023-07,Standard,6830,No,,6
UAE_003,CUST_1092,2023-07,Standard,7314,No,,7
UAE_003,CUST_1093,2023-08,Standard,4770,No,,1
UAE_003,CUST_1094,2023-08,VIP,5078,No,,1
UAE_003,CUST_1095,2023-09,VIP,4031,No,,6
UAE_003,CUST_1096,2023-10,Standard,3536,No,,9
UAE_003,CUST_1097,2023-11,Basic,6036,No,,4
UAE_003,CUST_1098,2023-12,Standard,5743,No,,2
UAE_003,CUST_1099,2024-01,Basic,5692,No,,5
UAE_003,CUST_1100,2024-02,Standard,3928,No,,4
UAE_003,CUST_1101,2024-03,Standard,8045,No,,2
UAE_003,CUST_1102,2024-04,Standard,8400,No,,1
UAE_003,CUST_1103,2024-05,Standard,2643,No,,4
UAE_003,CUST_1104,2024-06,Basic,2216,No,,3
UAE_003,CUST_1105,2024-06,VIP,1279,No,,8
UAE_003,CUST_1106,2024-07,VIP,6233,No,,7
UAE_003,CUST_1107,2024-08,Standard,3990,No,,9
UAE_003,CUST_1108,2024-09,Standard,4742,No,,6
UAE_003,CUST_1109,2024-10,Standard,2607,No,,8
UAE_003,CUST_1110,2024-11,Standard,4752,No,,1
UAE_003,CUST_1111,2024-12,Standard,2642,No,,1
UAE_003,CUST_1112,2025-01,Standard,3642,No,,5
UAE_003,CUST_1113,2025-02,VIP,3092,No,,2
UAE_003,CUST_1114,2025-03,VIP,3958,No,,5
UAE_003,CUST_1115,2025-04,Basic,6752,No,,3
UAE_003,CUST_1116,2025-05,Standard,4363,No,,8
UAE_003,CUST_1117,2025-06,Standard,3384,No,,7
UAE_003,CUST_1118,2025-07,VIP,7244,No,,6
UAE_003,CUST_1119,2025-08,Standard,1630,No,,9
