business_id,month,campaign_id,channel,impressions,clicks,leads,spend,cost_per_lead
UAE_001,2023-01,MKT_UAE_001_0_GOO,Google Search,3360,84,6,1355,225.83
UAE_001,2023-01,MKT_UAE_001_0_MET,Meta Ads,4500,180,18,2437,135.39
UAE_001,2023-01,MKT_UAE_001_0_LIN,LinkedIn B2B,7425,165,15,2663,177.53
UAE_001,2023-01,MKT_UAE_001_0_EMA,Email Marketing,5168,136,17,2145,126.18
UAE_001,2023-02,MKT_UAE_001_1_GOO,Google Search,2520,90,10,2498,249.8
UAE_001,2023-02,MKT_UAE_001_1_MET,Meta Ads,6600,150,15,2346,156.4
UAE_001,2023-02,MKT_UAE_001_1_LIN,LinkedIn B2B,15228,324,18,2995,166.39
UAE_001,2023-02,MKT_UAE_001_1_EMA,Email Marketing,1350,54,6,1508,251.33
UAE_001,2023-03,MKT_UAE_001_2_GOO,Google Search,4902,114,6,517,86.17
UAE_001,2023-03,MKT_UAE_001_2_MET,Meta Ads,2700,90,5,1273,254.6
UAE_001,2023-03,MKT_UAE_001_2_LIN,LinkedIn B2B,2244,102,6,1331,221.83
UAE_001,2023-03,MKT_UAE_001_2_EMA,Email Marketing,1984,64,8,1159,144.88
UAE_001,2023-04,MKT_UAE_001_3_GOO,Google Search,14760,360,30,2918,97.27
UAE_001,2023-04,MKT_UAE_001_3_MET,Meta Ads,3128,136,8,1381,172.62
UAE_001,2023-04,MKT_UAE_001_3_LIN,LinkedIn B2B,810,54,6,1655,275.83
UAE_001,2023-04,MKT_UAE_001_3_EMA,Email Marketing,816,48,6,1416,236.0
UAE_001,2023-05,MKT_UAE_001_4_GOO,Google Search,6375,255,15,1461,97.4
UAE_001,2023-05,MKT_UAE_001_4_MET,Meta Ads,2480,80,10,1301,130.1
UAE_001,2023-05,MKT_UAE_001_4_LIN,LinkedIn B2B,2064,48,3,720,240.0
UAE_001,2023-05,MKT_UAE_001_4_EMA,Email Marketing,2100,60,4,992,248.0
UAE_001,2023-06,MKT_UAE_001_5_GOO,Google Search,3116,76,4,939,234.75
UAE_001,2023-06,MKT_UAE_001_5_MET,Meta Ads,360,24,2,674,337.0
UAE_001,2023-06,MKT_UAE_001_5_LIN,LinkedIn B2B,2880,60,4,1017,254.25
UAE_001,2023-06,MKT_UAE_001_5_EMA,Email Marketing,1683,99,9,1384,153.78
UAE_001,2023-07,MKT_UAE_001_6_GOO,Google Search,2520,70,7,1015,145.0
UAE_001,2023-07,MKT_UAE_001_6_MET,Meta Ads,1482,78,6,1493,248.83
UAE_001,2023-07,MKT_UAE_001_6_LIN,LinkedIn B2B,3744,96,8,1526,190.75
UAE_001,2023-07,MKT_UAE_001_6_EMA,Email Marketing,3360,112,7,958,136.86
UAE_001,2023-08,MKT_UAE_001_7_GOO,Google Search,5600,160,10,1431,143.1
UAE_001,2023-08,MKT_UAE_001_7_MET,Meta Ads,2976,96,6,1381,230.17
UAE_001,2023-08,MKT_UAE_001_7_LIN,LinkedIn B2B,3480,120,8,1826,228.25
UAE_001,2023-08,MKT_UAE_001_7_EMA,Email Marketing,2664,72,9,1565,173.89
UAE_001,2023-09,MKT_UAE_001_8_GOO,Google Search,4554,99,9,1588,176.44
UAE_001,2023-09,MKT_UAE_001_8_MET,Meta Ads,1848,56,7,1720,245.71
UAE_001,2023-09,MKT_UAE_001_8_LIN,LinkedIn B2B,18377,391,23,2408,104.7
UAE_001,2023-09,MKT_UAE_001_8_EMA,Email Marketing,7106,187,17,2735,160.88
UAE_001,2023-10,MKT_UAE_001_9_GOO,Google Search,2700,75,5,741,148.2
UAE_001,2023-10,MKT_UAE_001_9_MET,Meta Ads,1568,56,4,1036,259.0
UAE_001,2023-10,MKT_UAE_001_9_LIN,LinkedIn B2B,2310,70,5,997,199.4
UAE_001,2023-10,MKT_UAE_001_9_EMA,Email Marketing,5640,120,8,1000,125.0
UAE_001,2023-11,MKT_UAE_001_10_GOO,Google Search,4284,238,17,1587,93.35
UAE_001,2023-11,MKT_UAE_001_10_MET,Meta Ads,4872,168,12,2693,224.42
UAE_001,2023-11,MKT_UAE_001_10_LIN,LinkedIn B2B,2795,65,5,1219,243.8
UAE_001,2023-11,MKT_UAE_001_10_EMA,Email Marketing,1944,81,9,1194,132.67
UAE_001,2023-12,MKT_UAE_001_11_GOO,Google Search,1368,36,4,699,174.75
UAE_001,2023-12,MKT_UAE_001_11_MET,Meta Ads,2952,72,4,1090,272.5
UAE_001,2023-12,MKT_UAE_001_11_LIN,LinkedIn B2B,1224,36,2,586,293.0
UAE_001,2023-12,MKT_UAE_001_11_EMA,Email Marketing,1980,45,5,1040,208.0
UAE_001,2024-01,MKT_UAE_001_12_GOO,Google Search,1728,48,4,1025,256.25
UAE_001,2024-01,MKT_UAE_001_12_MET,Meta Ads,1425,95,5,813,162.6
UAE_001,2024-01,MKT_UAE_001_12_LIN,LinkedIn B2B,368,16,2,408,204.0
UAE_001,2024-01,MKT_UAE_001_12_EMA,Email Marketing,506,22,2,697,348.5
UAE_001,2024-02,MKT_UAE_001_13_GOO,Google Search,9180,270,15,1854,123.6
UAE_001,2024-02,MKT_UAE_001_13_MET,Meta Ads,1776,48,4,934,233.5
UAE_001,2024-02,MKT_UAE_001_13_LIN,LinkedIn B2B,456,24,3,755,251.67
UAE_001,2024-02,MKT_UAE_001_13_EMA,Email Marketing,918,54,3,786,262.0
UAE_001,2024-03,MKT_UAE_001_14_GOO,Google Search,11067,357,21,2016,96.0
UAE_001,2024-03,MKT_UAE_001_14_MET,Meta Ads,10080,240,15,2734,182.27
UAE_001,2024-03,MKT_UAE_001_14_LIN,LinkedIn B2B,3780,108,12,2724,227.0
